Profile: Function timing, sorted by time
Date:    Mon Apr 10 18:55:01 2006


Program Statistics
------------------
    Command line at 2006 Apr 10 18:54: LiteEdit
    Total time: 30042.947 millisecond
    Time outside of functions: 25517.781 millisecond
    Call depth: 19
    Total functions: 712
    Total hits: 1578469
    Function coverage: 64.9%
    Overhead Calculated 9
    Overhead Average 9

Module Statistics for liteedit.exe
----------------------------------
    Time in module: 4525.165 millisecond
    Percent of time in module: 100.0%
    Functions in module: 712
    Hits in module: 1578469
    Module function coverage: 64.9%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
    1091.746  24.1     1091.746  24.1      957 GetNumOccurrences(class CString const &,class CString const &,long,long) (utility.obj)
     347.201   7.7      339.618   7.5      322 CLiteEditDlg::UpdatePosPane(void) (liteeditdlg.obj)
     205.985   4.6      601.871  13.3        1 CLiteEditDlg::OnInitDialog(void) (liteeditdlg.obj)
     201.922   4.5     2958.039  65.4      320 TextHolder::ModifyText(long,long,class CString const &,bool) (editctrl.obj)
     192.580   4.3      190.897   4.2     3151 EditCtrl::GetLineWidth(long,class EditCtrl::CurDC *) (editctrl.obj)
     159.556   3.5      709.372  15.7      640 EditCtrl::SetSel(long,long,enum ScrollKinds) (editctrl.obj)
     133.717   3.0      134.245   3.0       14 FileToString(class CString const &,bool) (utility.obj)
     124.212   2.7      137.081   3.0      578 WordList<class Ptr<class LangElem> >::AddString(class CString const &,class Ptr<class LangElem> const &) (codecoloring.obj)
     102.447   2.3      104.833   2.3      322 EditCtrl::UpdateHScroll(void) (editctrl.obj)
      89.757   2.0       93.495   2.1     3687 FindMatchImpl(class StringIterator const &,class CString const &,bool,long,long) (utility.obj)
      88.386   2.0       88.386   2.0        1 StringToFile(class CString const &,class CString const &) (utility.obj)
      86.910   1.9     1627.551  36.0      319 EditCtrl::OnPostChange(long,long,long,long,long,long) (editctrl.obj)
      60.900   1.3       66.325   1.5      328 EditCtrl::SetFirstVisibleLine(long) (editctrl.obj)
      60.247   1.3       59.835   1.3      510 EditCtrl::CurDC::DrawTextA(int,int,class CString const &) (editctrl.obj)
      59.728   1.3       77.151   1.7     1419 CodeLine::~CodeLine(void) (codecoloring.obj)
      54.961   1.2      125.972   2.8       58 EditCtrl::OnPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
      54.707   1.2       54.707   1.2    10716 GetNextToken(class CString const &,long,class CString &) (utility.obj)
      50.143   1.1       50.143   1.1      320 FindMenuItemPosById(struct HMENU__ *,unsigned int) (utility.obj)
      49.104   1.1      239.809   5.3      320 EditCtrl::ValidateWidestLine(long,long) (editctrl.obj)
      48.627   1.1      117.860   2.6      640 EditCtrl::ScrollCaret(enum ScrollKinds) (editctrl.obj)
      47.946   1.1       43.032   1.0      381 EditCtrl::PosFromChar(long) (editctrl.obj)
      45.215   1.0      469.033  10.4      640 EditCtrl::NotifyParent(unsigned short) (editctrl.obj)
      39.493   0.9       33.852   0.7       23 Words::Load(class Persist &) (codecoloring.obj)
      39.126   0.9      116.277   2.6     1419 CodeLine::`scalar deleting destructor'(unsigned int) (codecoloring.obj)
      39.126   0.9      116.277   2.6     1419 CodeLine::`vector deleting destructor'(unsigned int) (codecoloring.obj)
      36.941   0.8      298.166   6.6     1419 Language::NewCodeLine(class CString const &,class Context const &,bool) (codecoloring.obj)
      32.079   0.7       21.686   0.5     4731 ParserTree<class Ptr<class LangElem> >::Find(class CString const &,bool) (codecoloring.obj)
      28.702   0.6       29.027   0.6     4394 ParserTree<class Ptr<class LangElem> >::FindElement(class CString const &,long,bool,class Ptr<class LangElem> &,long &,long &) (codecoloring.obj)
      26.761   0.6       26.761   0.6        2 SearchForFile(class CString &) (utility.obj)
