Profile: Function timing, sorted by time
Date:    Tue Apr 18 22:24:10 2006


Program Statistics
------------------
    Command line at 2006 Apr 18 22:23: LiteEdit
    Total time: 10515.650 millisecond
    Time outside of functions: 8075.924 millisecond
    Call depth: 123
    Total functions: 688
    Total hits: 934663
    Function coverage: 67.0%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for liteedit.exe
----------------------------------
    Time in module: 2439.726 millisecond
    Percent of time in module: 100.0%
    Functions in module: 688
    Hits in module: 934663
    Module function coverage: 67.0%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
     298.267  12.2      307.247  12.6     1479 EditCtrl::GetNumCharsThatFit(char const *,long,long,long &) (editctrl.obj)
     183.731   7.5      593.415  24.3      207 EditCtrl::WrapLinesIfNecessary(long,long &,long &,long &,long &,long *,long,long) (editctrl.obj)
     141.418   5.8      412.584  16.9        1 CLiteEditDlg::OnInitDialog(void) (liteeditdlg.obj)
     109.518   4.5      109.518   4.5      618 GetNumNewLines(class CString const &,long,long) (utility.obj)
     104.497   4.3      105.717   4.3       15 FileToString(class CString const &,bool) (utility.obj)
      99.741   4.1      101.890   4.2      578 WordList<class Ptr<class LangElem> >::AddString(class CString const &,class Ptr<class LangElem> const &) (codecoloring.obj)
      94.630   3.9      192.639   7.9      419 EditCtrl::SetSel(long,long,enum ScrollKinds) (editctrl.obj)
      78.723   3.2       90.086   3.7     1013 std::vector<class Ptr<class LineData>,class std::allocator<class Ptr<class LineData> > >::insert(class Ptr<class LineData> *,unsigned int,class Ptr<class LineData> const &) (editctrl.obj)
      69.005   2.8     1508.084  61.8      208 EditCtrl::ModifyText(long,long,class CString const &,bool) (editctrl.obj)
      54.429   2.2      706.438  29.0      207 EditCtrl::OnPostChange(long,long,long,long,long,long) (editctrl.obj)
      53.781   2.2       55.900   2.3      209 EditCtrl::UpdateHScroll(void) (editctrl.obj)
      52.094   2.1       52.626   2.2       48 CLiteEditDlg::UpdatePosPane(void) (liteeditdlg.obj)
      46.901   1.9       58.004   2.4     1999 FindMatchImpl(class StringIterator const &,class CString const &,bool,long,long) (utility.obj)
      44.480   1.8       89.642   3.7       54 EditCtrl::OnPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
      43.634   1.8       62.177   2.5      416 CLiteEditDlg::OnCommand(unsigned int,long) (liteeditdlg.obj)
      39.385   1.6      234.987   9.6     1222 Language::NewCodeLine(class CString const &,class Context const &,bool) (codecoloring.obj)
      30.555   1.3       34.999   1.4      264 EditCtrl::PosFromChar(long) (editctrl.obj)
      29.606   1.2       29.606   1.2     6005 GetNextToken(class CString const &,long,class CString &) (utility.obj)
      29.402   1.2       54.164   2.2      419 EditCtrl::ScrollCaret(enum ScrollKinds) (editctrl.obj)
      29.317   1.2       34.219   1.4       23 Words::Load(class Persist &) (codecoloring.obj)
