Profile: Function timing, sorted by time
Date:    Mon Apr 10 21:12:41 2006


Program Statistics
------------------
    Command line at 2006 Apr 10 21:12: LiteEdit
    Total time: 10008.104 millisecond
    Time outside of functions: 7733.601 millisecond
    Call depth: 135
    Total functions: 676
    Total hits: 411487
    Function coverage: 64.9%
    Overhead Calculated 10
    Overhead Average 10

Module Statistics for liteedit.exe
----------------------------------
    Time in module: 2274.503 millisecond
    Percent of time in module: 100.0%
    Functions in module: 676
    Hits in module: 411487
    Module function coverage: 64.9%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
     290.030  12.8      297.095  13.1     1355 EditCtrl::GetNumCharsThatFit(class CString const &,long,long &) (editctrl.obj)
     187.742   8.3      576.519  25.3        1 CLiteEditDlg::OnInitDialog(void) (liteeditdlg.obj)
     172.243   7.6      172.796   7.6       14 FileToString(class CString const &,bool) (utility.obj)
     116.418   5.1      179.656   7.9      475 EditCtrl::SetSel(long,long,enum ScrollKinds) (editctrl.obj)
     112.712   5.0      314.001  13.8      236 TextHolder::WrapLinesIfNecessary(long,long &,long &,long &,long &,long *,long,long) (editctrl.obj)
     110.034   4.8      107.063   4.7      578 WordList<class Ptr<class LangElem> >::AddString(class CString const &,class Ptr<class LangElem> const &) (codecoloring.obj)
     108.809   4.8       98.097   4.3     2092 EditCtrl::GetLineWidth(long,class EditCtrl::CurDC *) (editctrl.obj)
      97.206   4.3       97.206   4.3      705 GetNumNewLines(class CString const &,long,long) (utility.obj)
      84.664   3.7       83.106   3.7      238 EditCtrl::UpdateHScroll(void) (editctrl.obj)
      69.091   3.0       66.343   2.9       55 CLiteEditDlg::UpdatePosPane(void) (liteeditdlg.obj)
      57.549   2.5      453.853  20.0      236 EditCtrl::OnPostChange(long,long,long,long,long,long) (editctrl.obj)
      57.384   2.5      102.873   4.5       60 EditCtrl::OnPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
      46.526   2.0       41.373   1.8     1639 FindMatchImpl(class StringIterator const &,class CString const &,bool,long,long) (utility.obj)
      44.480   2.0      864.058  38.0      236 TextHolder::ModifyText(long,long,class CString const &,bool) (editctrl.obj)
      44.210   1.9      341.418  15.0      474 CLiteEditDlg::OnCommand(unsigned int,long) (liteeditdlg.obj)
      37.770   1.7       21.832   1.0      297 EditCtrl::PosFromChar(long) (editctrl.obj)
      33.044   1.5       32.584   1.4      489 EditCtrl::CurDC::DrawTextA(int,int,class CString const &) (editctrl.obj)
      32.303   1.4       35.284   1.6      475 EditCtrl::ScrollCaret(enum ScrollKinds) (editctrl.obj)
      30.277   1.3       30.277   1.3      237 FindMenuItemPosById(struct HMENU__ *,unsigned int) (utility.obj)
      27.167   1.2       22.856   1.0       23 Words::Load(class Persist &) (codecoloring.obj)
      25.346   1.1       25.588   1.1        1 _$E207 (codecoloring.obj)
      24.735   1.1       24.515   1.1       22 EditCtrl::OnNcPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
      22.980   1.0       22.980   1.0        1 StringToFile(class CString const &,class CString const &) (utility.obj)
      21.889   1.0       21.889   1.0       21 FileExists(class CString const &) (utility.obj)
      20.015   0.9       64.205   2.8      472 EditCtrl::NotifyParent(unsigned short) (editctrl.obj)
      19.787   0.9       19.787   0.9        2 SearchForFile(class CString &) (utility.obj)
      19.205   0.8       19.205   0.8     4932 GetNextToken(class CString const &,long,class CString &) (utility.obj)
      18.845   0.8      117.422   5.2      237 EditCtrl::ValidateWidestLine(long,long) (editctrl.obj)
      17.400   0.8       17.400   0.8     2250 std::vector<class Token,class std::allocator<class Token> >::_Destroy(class Token *,class Token *) (codecoloring.obj)
      15.009   0.7      125.796   5.5       58 Language::AddLangElem(class Ptr<class LangElem> const &) (codecoloring.obj)
      13.084   0.6       20.741   0.9      812 LineData::`scalar deleting destructor'(unsigned int) (editctrl.obj)
      13.084   0.6       20.741   0.9      812 LineData::`vector deleting destructor'(unsigned int) (editctrl.obj)
      12.161   0.5       12.161   0.5     2454 GetPrevWordPos(class CString const &,long,bool) (utility.obj)
      11.802   0.5      743.641  32.7      878 ATL::CWindowImplBaseT<class ATL::CWindow,class ATL::CWinTraits<1442840576,0> >::WindowProc(struct HWND__ *,unsigned int,unsigned int,long) (editctrl.obj)
      11.122   0.5      273.705  12.0      812 CLiteEditDlg::PreTranslateMessage(struct tagMSG *) (liteeditdlg.obj)
       9.649   0.4        9.028   0.4     1685 ParserTree<class Ptr<class LangElem> >::FindElement(class CString const &,long,bool,class Ptr<class LangElem> &,long &,long &) (codecoloring.obj)
       9.311   0.4        9.450   0.4        1 _$E231 (editctrl.obj)
       9.000   0.4        9.000   0.4     9217 ParserTree<class Ptr<class LangElem> >::Node::FindChildImpl(char,long,long) (codecoloring.obj)
       8.559   0.4       16.738   0.7      249 EditCtrl::SetFirstVisibleLine(long) (editctrl.obj)
       8.524   0.4        8.524   0.4     1269 EditCtrl::GetClientHeight(void) (editctrl.obj)
       7.786   0.3        7.786   0.3     3601 std::_Construct(class CString *,class CString const &) (codecoloring.obj)
       7.471   0.3        6.533   0.3      278 ParserTree<class Ptr<class LangElem> >::Node::`scalar deleting destructor'(unsigned int) (codecoloring.obj)
       7.471   0.3        6.533   0.3      278 ParserTree<class Ptr<class LangElem> >::Node::`vector deleting destructor'(unsigned int) (codecoloring.obj)
       6.995   0.3        6.666   0.3      578 WordList<class Ptr<class LangElem> >::Elem::`scalar deleting destructor'(unsigned int) (codecoloring.obj)
       6.509   0.3        6.509   0.3       60 Accel::DoPersist(class Persist &) (utility.obj)
       6.178   0.3        0.000   0.0     1050 EditCtrl::IsLineWrapped(long) (editctrl.obj)
       6.130   0.3        6.259   0.3     1050 CodeLine::~CodeLine(void) (codecoloring.obj)
       5.969   0.3        6.962   0.3        3 CLiteEditDlg::ResizeControls(void) (liteeditdlg.obj)
       5.808   0.3       36.085   1.6      237 CLiteEditDlg::ProcessDynamicCommand(unsigned int) (liteeditdlg.obj)
       5.634   0.2        5.638   0.2        1 _$E209 (liteeditdlg.obj)
       5.598   0.2        5.598   0.2     2250 std::vector<class Token,class std::allocator<class Token> >::size(void) (codecoloring.obj)
       5.316   0.2        4.849   0.2      155 ParserTree<enum Range::RangeMarkers>::Node::FindChild(char) (codecoloring.obj)
       4.975   0.2        4.975   0.2     1104 std::vector<class CString,class std::allocator<class CString> >::vector<class CString,class std::allocator<class CString> >(class std::allocator<class CString> const &) (editctrl.obj)
       4.975   0.2        4.975   0.2     1104 std::vector<class Command,class std::allocator<class Command> >::vector<class Command,class std::allocator<class Command> >(class std::allocator<class Command> const &) (editctrl.obj)
       4.975   0.2        4.975   0.2     1104 std::vector<class Ptr<class ColorScheme>,class std::allocator<class Ptr<class ColorScheme> > >::vector<class Ptr<class ColorScheme>,class std::allocator<class Ptr<class ColorScheme> > >(class std::allocator<class Ptr<class ColorScheme> > const &) (editctrl.obj)
       4.975   0.2        4.975   0.2     1104 std::vector<class Ptr<class LangElem>,class std::allocator<class Ptr<class LangElem> > >::vector<class Ptr<class LangElem>,class std::allocator<class Ptr<class LangElem> > >(class std::allocator<class Ptr<class LangElem> > const &) (editctrl.obj)
       4.975   0.2        4.975   0.2     1104 std::vector<class Ptr<class LineData>,class std::allocator<class Ptr<class LineData> > >::vector<class Ptr<class LineData>,class std::allocator<class Ptr<class LineData> > >(class std::allocator<class Ptr<class LineData> > const &) (editctrl.obj)
       4.975   0.2        4.975   0.2     1104 std::vector<class Ptr<struct ParserTree<class Ptr<class LangElem> >::Node>,class std::allocator<class Ptr<struct ParserTree<class Ptr<class LangElem> >::Node> > >::vector<class Ptr<struct ParserTree<class Ptr<class LangElem> >::Node>,class std::allocator<class Ptr<struct ParserTree<class Ptr<class LangElem> >::Node> > >(class std::allocator<class Ptr<struct ParserTree<class Ptr<class LangElem> >::Node> > const &) (editctrl.obj)
       4.975   0.2        4.975   0.2     1104 std::vector<class Token,class std::allocator<class Token> >::vector<class Token,class std::allocator<class Token> >(class std::allocator<class Token> const &) (editctrl.obj)
       4.975   0.2        4.975   0.2     1104 std::vector<struct UndoItem,class std::allocator<struct UndoItem> >::vector<struct UndoItem,class std::allocator<struct UndoItem> >(class std::allocator<struct UndoItem> const &) (editctrl.obj)
       4.975   0.2        4.975   0.2     1104 std::vector<struct WordList<class Ptr<class LangElem> >::Elem,class std::allocator<struct WordList<class Ptr<class LangElem> >::Elem> >::vector<struct WordList<class Ptr<class LangElem> >::Elem,class std::allocator<struct WordList<class Ptr<class LangElem> >::Elem> >(class std::allocator<struct WordList<class Ptr<class LangElem> >::Elem> const &) (editctrl.obj)
       4.925   0.2       35.410   1.6        1 CLiteEditDlg::OnDestroy(void) (liteeditdlg.obj)
       4.687   0.2        7.658   0.3      812 LineData::~LineData(void) (editctrl.obj)
       4.459   0.2        4.459   0.2      542 std::_Construct(class Ptr<struct ParserTree<class Ptr<class LangElem> >::Node> *,class Ptr<struct ParserTree<class Ptr<class LangElem> >::Node> const &) (codecoloring.obj)
       4.180   0.2        0.000   0.0     1685 std::vector<class Token,class std::allocator<class Token> >::insert(class Token *,unsigned int,class Token const &) (codecoloring.obj)
       2.907   0.1        2.902   0.1      236 CLiteEditDlg::OnEditChange(void) (liteeditdlg.obj)
       2.907   0.1      151.889   6.7       13 Language::DoPersist(class Persist &) (codecoloring.obj)
       2.798   0.1        2.798   0.1     1189 EditCtrl::GetClientWidth(void) (editctrl.obj)
       2.473   0.1        2.473   0.1      236 EditCtrl::GetControlWidth(void) (editctrl.obj)
       2.425   0.1        3.685   0.2        2 GetClipboardString(class CString &,struct HWND__ *,bool) (utility.obj)
       2.417   0.1      731.707  32.2      878 EditCtrl::ProcessWindowMessage(struct HWND__ *,unsigned int,unsigned int,long,long &,unsigned long) (editctrl.obj)
       2.385   0.1        2.459   0.1       10 EditCtrl::UpdateVScroll(void) (editctrl.obj)
       2.282   0.1        2.282   0.1       60 EditCtrl::OnEraseBkGnd(unsigned int,unsigned int,long,int &) (editctrl.obj)
       2.108   0.1      608.791  26.8      234 TextHolder::InsertChar(long,char) (editctrl.obj)
       1.996   0.1        1.996   0.1      234 CharToStr(char) (editctrl.obj)
       1.924   0.1        3.051   0.1        4 AccelTable::DecorateMenu(struct HMENU__ *) (utility.obj)
       1.900   0.1        1.900   0.1      944 std::vector<long,class std::allocator<long> >::insert(long *,unsigned int,long const &) (editctrl.obj)
       1.880   0.1        3.155   0.1        1 FindAllFiles(class CString const &,class StringVector &,bool) (utility.obj)
       1.820   0.1        1.820   0.1        2 LoadSubMenu(int,int) (utility.obj)
       1.779   0.1        1.777   0.1        4 CLiteEditDlg::UpdateTitle(void) (liteeditdlg.obj)
       1.670   0.1        1.666   0.1        8 TokenColors::DoPersist(class Persist &) (codecoloring.obj)
       1.664   0.1        1.664   0.1      126 KeyToString(unsigned char) (utility.obj)
       1.644   0.1        1.718   0.1        1 EditCtrl::EditCtrl(void) (editctrl.obj)
       1.514   0.1        3.232   0.1        1 CLiteEditDlg::CLiteEditDlg(class LiteEditCommandLineInfo const &,class CWnd *) (liteeditdlg.obj)
       1.372   0.1        1.372   0.1      812 TextHolder::NewLineData(void) (editctrl.obj)
       1.365   0.1      611.190  26.9      234 EditCtrl::OnChar(unsigned int,unsigned int,long,int &) (editctrl.obj)
       1.141   0.1        1.141   0.1     1047 EditCtrl::GetTextRange(long,long) (editctrl.obj)
       1.056   0.0        0.062   0.0       24 Range::Load(class Persist &) (codecoloring.obj)
       1.045   0.0        1.045   0.0     1159 FindOneOf(class CString const &,class CString const &,long) (utility.obj)
       1.034   0.0        1.034   0.0      234 std::use_facet(class std::locale const &,class std::ctype<char> const *,bool) (editctrl.obj)
       1.009   0.0        1.009   0.0        5 EditCtrl::GetTextMetricsA(struct tagTEXTMETRICA &) (editctrl.obj)
       0.959   0.0        0.959   0.0        1 GetProgramFilesPath(void) (utility.obj)
       0.895   0.0        0.895   0.0        2 ConvertCRLFtoLF(char *,char const *) (utility.obj)
       0.837   0.0        0.837   0.0       23 Words::~Words(void) (codecoloring.obj)
       0.819   0.0        1.317   0.1        1 CLiteEditDlg::OnInitMenu(class CMenu *) (liteeditdlg.obj)
       0.813   0.0       22.371   1.0       19 EditCtrl::InvalidateGutter(void) (editctrl.obj)
       0.632   0.0        0.632   0.0       52 Persist::PersistNumberImpl(class CString const &,long &) (codecoloring.obj)
       0.577   0.0        0.577   0.0      468 ReverseFindOneOf(class CString const &,class CString const &,long) (utility.obj)
       0.577   0.0        0.577   0.0     1159 std::fill(class Token *,class Token *,class Token const &) (codecoloring.obj)
       0.553   0.0        0.553   0.0       14 ConvertAnyToLF(char *,char const *) (utility.obj)
       0.546   0.0        0.546   0.0      235 RemoveCR(char *,char const *,long *,long) (utility.obj)
       0.543   0.0        1.518   0.1        1 EditCtrl::Create(struct HWND__ *,struct tagRECT &,unsigned long,unsigned long,unsigned int,class Ptr<class Language>,class Ptr<class TokenColors>) (editctrl.obj)
       0.437   0.0        0.374   0.0       25 std::deque<class Ptr<class Range const >,class std::allocator<class Ptr<class Range const > > >::push_back(class Ptr<class Range const > const &) (codecoloring.obj)
       0.381   0.0        0.300   0.0       58 std::vector<class Ptr<class LangElem>,class std::allocator<class Ptr<class LangElem> > >::_Ufill(class Ptr<class LangElem> *,unsigned int,class Ptr<class LangElem> const &) (codecoloring.obj)
