Profile: Function timing, sorted by time
Date:    Mon Apr 10 21:36:15 2006


Program Statistics
------------------
    Command line at 2006 Apr 10 21:35: LiteEdit
    Total time: 9825.841 millisecond
    Time outside of functions: 8149.336 millisecond
    Call depth: 165
    Total functions: 676
    Total hits: 416307
    Function coverage: 64.5%
    Overhead Calculated 10
    Overhead Average 10

Module Statistics for liteedit.exe
----------------------------------
    Time in module: 1676.505 millisecond
    Percent of time in module: 100.0%
    Functions in module: 676
    Hits in module: 416307
    Module function coverage: 64.5%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       2.422   0.1        2.422   0.1     1153 TextHolder::NewLineData(void) (editctrl.obj)
       2.407   0.1        2.340   0.1        2 CLiteEditDlg::UpdatePosPane(void) (liteeditdlg.obj)
       1.965   0.1        7.134   0.4        4 AccelTable::DecorateMenu(struct HMENU__ *) (utility.obj)
       1.834   0.1        0.532   0.0     1180 EditCtrl::GetLineRange(long,long &,long &) (editctrl.obj)
       1.821   0.1        1.752   0.1        1 FindAllFiles(class CString const &,class StringVector &,bool) (utility.obj)
       1.808   0.1        3.623   0.2        1 CLiteEditDlg::CLiteEditDlg(class LiteEditCommandLineInfo const &,class CWnd *) (liteeditdlg.obj)
       1.789   0.1        2.280   0.1        2 CLiteEditDlg::OnInitMenu(class CMenu *) (liteeditdlg.obj)
       1.767   0.1        1.765   0.1        8 TokenColors::DoPersist(class Persist &) (codecoloring.obj)
       1.752   0.1        1.815   0.1        1 EditCtrl::EditCtrl(void) (editctrl.obj)
       1.633   0.1        2.273   0.1        3 EditCtrl::CreateCaret(void) (editctrl.obj)
       1.583   0.1       16.982   1.0      810 std::vector<class CString,class std::allocator<class CString> >::insert(class CString *,class CString const &) (codecoloring.obj)
       1.581   0.1        1.581   0.1      126 KeyToString(unsigned char) (utility.obj)
       1.347   0.1        1.347   0.1        2 ConvertCRLFtoLF(char *,char const *) (utility.obj)
       1.205   0.1        1.205   0.1        6 EditCtrl::GetTextMetricsA(struct tagTEXTMETRICA &) (editctrl.obj)
       1.179   0.1        2.338   0.1        8 EditCtrl::ScrollCaret(enum ScrollKinds) (editctrl.obj)
       1.140   0.1        1.764   0.1     4967 EditCtrl::GetAvgCharWidth(void) (editctrl.obj)
       1.019   0.1        1.019   0.1     1002 FindOneOf(class CString const &,class CString const &,long) (utility.obj)
       0.975   0.1        0.975   0.1        1 GetProgramFilesPath(void) (utility.obj)
       0.727   0.0        0.727   0.0       52 Persist::PersistNumberImpl(class CString const &,long &) (codecoloring.obj)
       0.665   0.0        0.665   0.0        4 GetModulePath(void) (utility.obj)
       0.645   0.0        0.719   0.0        3 EditCtrl::UpdateVScroll(void) (editctrl.obj)
       0.609   0.0        0.985   0.1        4 EditCtrl::UpdateHScroll(void) (editctrl.obj)
       0.603   0.0        4.776   0.3        9 EditCtrl::SetFirstVisibleLine(long) (editctrl.obj)
       0.583   0.0       11.679   0.7        1 EditCtrl::Create(struct HWND__ *,struct tagRECT &,unsigned long,unsigned long,unsigned int,class Ptr<class Language>,class Ptr<class TokenColors>) (editctrl.obj)
       0.582   0.0      587.780  35.1        2 TextHolder::ModifyText(long,long,class CString const &,bool) (editctrl.obj)
       0.546   0.0        0.546   0.0       14 ConvertAnyToLF(char *,char const *) (utility.obj)
       0.540   0.0        0.406   0.0        5 EditCtrl::PosFromChar(long) (editctrl.obj)
       0.531   0.0        1.878   0.1        2 ConvertCRLFtoLF(class CString &) (utility.obj)
       0.520   0.0        0.520   0.0        3 GetNumNewLines(class CString const &,long,long) (utility.obj)
       0.502   0.0      591.646  35.3      154 CLiteEditDlg::PreTranslateMessage(struct tagMSG *) (liteeditdlg.obj)
       0.487   0.0        0.176   0.0      251 std::vector<class Ptr<struct ParserTree<class Ptr<class LangElem> >::Node>,class std::allocator<class Ptr<struct ParserTree<class Ptr<class LangElem> >::Node> > >::_Ucopy(class Ptr<struct ParserTree<class Ptr<class LangElem> >::Node> const *,class Ptr<struct ParserTree<class Ptr<class LangElem> >::Node> const *,class Ptr<struct ParserTree<class Ptr<class LangElem> >::Node> *) (codecoloring.obj)
       0.470   0.0        0.470   0.0       11 RestOfLine::Load(class Persist &) (codecoloring.obj)
       0.447   0.0        0.447   0.0       23 Words::~Words(void) (codecoloring.obj)
       0.439   0.0        0.439   0.0       43 EditCtrl::GetClientHeight(void) (editctrl.obj)
       0.420   0.0        0.344   0.0       58 std::vector<class Ptr<class LangElem>,class std::allocator<class Ptr<class LangElem> > >::_Ufill(class Ptr<class LangElem> *,unsigned int,class Ptr<class LangElem> const &) (codecoloring.obj)
       0.367   0.0        3.080   0.2        1 CLiteEditDlg::UpdateClipboardPane(void) (liteeditdlg.obj)
       0.339   0.0        0.261   0.0       30 std::deque<class Ptr<class Range const >,class std::allocator<class Ptr<class Range const > > >::push_back(class Ptr<class Range const > const &) (codecoloring.obj)
       0.329   0.0        0.609   0.0     1256 WordList<class Ptr<class LangElem> >::Elem::~Elem(void) (codecoloring.obj)
       0.311   0.0        0.311   0.0        3 FindMenuItemPosById(struct HMENU__ *,unsigned int) (utility.obj)
