Profile: Function timing, sorted by time
Date:    Mon Apr 10 19:08:58 2006


Program Statistics
------------------
    Command line at 2006 Apr 10 19:08: LiteEdit
    Total time: 12095.999 millisecond
    Time outside of functions: 8253.924 millisecond
    Call depth: 19
    Total functions: 700
    Total hits: 1774605
    Function coverage: 63.4%
    Overhead Calculated 10
    Overhead Average 10

Module Statistics for liteedit.exe
----------------------------------
    Time in module: 3842.075 millisecond
    Percent of time in module: 100.0%
    Functions in module: 700
    Hits in module: 1774605
    Module function coverage: 63.4%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
     928.095  24.2      928.095  24.2      957 GetNumOccurrences(class CString const &,class CString const &,long,long) (utility.obj)
     348.096   9.1      350.695   9.1      320 CLiteEditDlg::UpdatePosPane(void) (liteeditdlg.obj)
     221.163   5.8     2002.622  52.1      320 TextHolder::ModifyText(long,long,class CString const &,bool) (editctrl.obj)
     187.582   4.9      591.460  15.4        1 CLiteEditDlg::OnInitDialog(void) (liteeditdlg.obj)
     173.439   4.5      169.330   4.4     3169 EditCtrl::GetLineWidth(long,class EditCtrl::CurDC *) (editctrl.obj)
     169.802   4.4      676.564  17.6      639 EditCtrl::SetSel(long,long,enum ScrollKinds) (editctrl.obj)
     147.182   3.8      147.708   3.8       14 FileToString(class CString const &,bool) (utility.obj)
     117.407   3.1      117.407   3.1        1 StringToFile(class CString const &,class CString const &) (utility.obj)
     110.214   2.9      108.470   2.8     1113 EditCtrl::CurDC::DrawTextA(int,int,class CString const &) (editctrl.obj)
     108.753   2.8       69.927   1.8     5894 FindMatchImpl(class StringIterator const &,class CString const &,bool,long,long) (utility.obj)
     100.813   2.6      928.547  24.2      319 EditCtrl::OnPostChange(long,long,long,long,long,long) (editctrl.obj)
      99.800   2.6      102.967   2.7      578 WordList<class Ptr<class LangElem> >::AddString(class CString const &,class Ptr<class LangElem> const &) (codecoloring.obj)
      81.655   2.1       81.142   2.1      322 EditCtrl::UpdateHScroll(void) (editctrl.obj)
      68.880   1.8       94.448   2.5     1103 LineData::`scalar deleting destructor'(unsigned int) (editctrl.obj)
      68.880   1.8       94.448   2.5     1103 LineData::`vector deleting destructor'(unsigned int) (editctrl.obj)
      63.619   1.7       63.619   1.7    15870 GetNextToken(class CString const &,long,class CString &) (utility.obj)
      60.760   1.6       90.725   2.4      639 EditCtrl::ScrollCaret(enum ScrollKinds) (editctrl.obj)
      58.048   1.5       91.478   2.4       23 Words::Load(class Persist &) (codecoloring.obj)
      53.511   1.4       53.511   1.4      320 FindMenuItemPosById(struct HMENU__ *,unsigned int) (utility.obj)
      46.647   1.2       46.647   1.2       60 Accel::DoPersist(class Persist &) (utility.obj)
      45.954   1.2       37.616   1.0      351 EditCtrl::PosFromChar(long) (editctrl.obj)
      42.166   1.1      211.934   5.5      320 EditCtrl::ValidateWidestLine(long,long) (editctrl.obj)
      36.756   1.0       36.756   1.0     3601 std::_Construct(class CString *,class CString const &) (codecoloring.obj)
      32.615   0.8       32.615   0.8        2 SearchForFile(class CString &) (utility.obj)
      30.975   0.8      454.870  11.8      638 EditCtrl::NotifyParent(unsigned short) (editctrl.obj)
      30.095   0.8       30.095   0.8     3755 std::vector<class Token,class std::allocator<class Token> >::_Destroy(class Token *,class Token *) (codecoloring.obj)
      29.631   0.8       28.166   0.7      278 ParserTree<class Ptr<class LangElem> >::Node::`scalar deleting destructor'(unsigned int) (codecoloring.obj)
      29.631   0.8       28.166   0.7      278 ParserTree<class Ptr<class LangElem> >::Node::`vector deleting destructor'(unsigned int) (codecoloring.obj)
      28.943   0.8      139.040   3.6       31 EditCtrl::OnPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
      26.003   0.7       28.119   0.7      324 EditCtrl::SetFirstVisibleLine(long) (editctrl.obj)
      20.096   0.5       81.433   2.1     1040 CLiteEditDlg::PreTranslateMessage(struct tagMSG *) (liteeditdlg.obj)
      17.903   0.5       25.569   0.7     1103 LineData::~LineData(void) (editctrl.obj)
      17.220   0.4     2125.280  55.3     1059 ATL::CWindowImplBaseT<class ATL::CWindow,class ATL::CWinTraits<1442840576,0> >::WindowProc(struct HWND__ *,unsigned int,unsigned int,long) (editctrl.obj)
      16.645   0.4       17.171   0.4     1425 CodeLine::~CodeLine(void) (codecoloring.obj)
      12.944   0.3     2108.025  54.9     1059 EditCtrl::ProcessWindowMessage(struct HWND__ *,unsigned int,unsigned int,long,long &,unsigned long) (editctrl.obj)
      12.929   0.3       12.929   0.3       21 FileExists(class CString const &) (utility.obj)
      12.445   0.3       13.623   0.4        4 AccelTable::DecorateMenu(struct HMENU__ *) (utility.obj)
      12.208   0.3      481.906  12.5      640 CLiteEditDlg::OnCommand(unsigned int,long) (liteeditdlg.obj)
      11.086   0.3       57.201   1.5     5894 WordList<class Ptr<class LangElem> >::GetElement(class CString const &,bool,class Ptr<class LangElem> &) (codecoloring.obj)
      11.054   0.3       11.042   0.3        5 EditCtrl::SetFirstVisiblePixel(long) (editctrl.obj)
      10.395   0.3       10.395   0.3     1639 EditCtrl::GetClientHeight(void) (editctrl.obj)
       9.993   0.3        9.993   0.3      319 RemoveCR(char *,char const *,long *,long) (utility.obj)
       8.833   0.2       62.343   1.6      320 CLiteEditDlg::ProcessDynamicCommand(unsigned int) (liteeditdlg.obj)
       7.511   0.2        8.898   0.2        3 CLiteEditDlg::ResizeControls(void) (liteeditdlg.obj)
       7.426   0.2        7.039   0.2       12 EditCtrl::OnNcPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
       6.431   0.2        5.231   0.1       38 ParserTree<enum Range::RangeMarkers>::AddString(class CString const &,enum Range::RangeMarkers const &) (codecoloring.obj)
       6.297   0.2       10.873   0.3     5442 std::vector<class Token,class std::allocator<class Token> >::insert(class Token *,unsigned int,class Token const &) (codecoloring.obj)
       5.677   0.1        8.653   0.2        3 GetClipboardString(class CString &,struct HWND__ *,bool) (utility.obj)
       5.629   0.1        5.629   0.1     1288 EditCtrl::GetClientWidth(void) (editctrl.obj)
       5.598   0.1        5.598   0.1     9890 std::_Construct(class Ptr<class CodeLine> *,class Ptr<class CodeLine> const &) (editctrl.obj)
       5.592   0.1      170.817   4.4        1 CLiteEditDlg::OnDestroy(void) (liteeditdlg.obj)
       5.557   0.1        3.167   0.1      578 std::vector<struct WordList<class Ptr<class LangElem> >::Elem,class std::allocator<struct WordList<class Ptr<class LangElem> >::Elem> >::insert(struct WordList<class Ptr<class LangElem> >::Elem *,unsigned int,struct WordList<class Ptr<class LangElem> >::Elem const &) (codecoloring.obj)
       5.070   0.1        5.070   0.1     1276 std::vector<long,class std::allocator<long> >::insert(long *,unsigned int,long const &) (editctrl.obj)
       4.339   0.1      187.155   4.9       13 Language::DoPersist(class Persist &) (codecoloring.obj)
       3.645   0.1        3.645   0.1      316 CharToStr(char) (editctrl.obj)
       3.318   0.1        3.315   0.1      319 CLiteEditDlg::OnEditChange(void) (liteeditdlg.obj)
       3.127   0.1        3.127   0.1     1422 EditCtrl::GetTextRange(long,long) (editctrl.obj)
       2.949   0.1        2.949   0.1     1278 EditCtrl::ValidatePos(long &,long) (editctrl.obj)
       2.355   0.1        2.349   0.1        3 CLiteEditDlg::UpdateTitle(void) (liteeditdlg.obj)
       2.301   0.1        1.880   0.0      969 EditCtrl::GetLastVisibleLine(bool) (editctrl.obj)
       2.198   0.1        2.198   0.1        3 ConvertCRLFtoLF(char *,char const *) (utility.obj)
       1.892   0.0        1.062   0.0      653 std::vector<class CString,class std::allocator<class CString> >::_Ufill(class CString *,unsigned int,class CString const &) (codecoloring.obj)
       1.882   0.0        1.861   0.0        1 FindAllFiles(class CString const &,class StringVector &,bool) (utility.obj)
       1.843   0.0        1.843   0.0        2 LoadSubMenu(int,int) (utility.obj)
       1.752   0.0        1.751   0.0        8 TokenColors::DoPersist(class Persist &) (codecoloring.obj)
       1.737   0.0        1.737   0.0      126 KeyToString(unsigned char) (utility.obj)
       1.523   0.0        1.523   0.0      318 std::use_facet(class std::locale const &,class std::ctype<char> const *,bool) (editctrl.obj)
       1.520   0.0     1952.074  50.8      318 EditCtrl::OnChar(unsigned int,unsigned int,long,int &) (editctrl.obj)
       1.516   0.0        1.699   0.0        1 CLiteEditDlg::CLiteEditDlg(class LiteEditCommandLineInfo const &,class CWnd *) (liteeditdlg.obj)
       1.292   0.0        1.348   0.0        6 EditCtrl::UpdateVScroll(void) (editctrl.obj)
       1.177   0.0        6.075   0.2        2 CLiteEditDlg::UpdateClipboardPane(void) (liteeditdlg.obj)
       1.132   0.0        0.948   0.0       70 std::deque<class Ptr<class Range const >,class std::allocator<class Ptr<class Range const > > >::push_back(class Ptr<class Range const > const &) (codecoloring.obj)
       1.128   0.0        6.310   0.2       24 Range::Load(class Persist &) (codecoloring.obj)
       1.111   0.0        1.111   0.0     1103 TextHolder::NewLineData(void) (editctrl.obj)
       1.011   0.0        1.011   0.0        1 GetProgramFilesPath(void) (utility.obj)
       0.979   0.0        0.979   0.0        5 EditCtrl::GetTextMetricsA(struct tagTEXTMETRICA &) (editctrl.obj)
       0.978   0.0        1.319   0.0        1 CLiteEditDlg::OnInitMenu(class CMenu *) (liteeditdlg.obj)
       0.968   0.0        0.271   0.0      822 std::vector<class CString,class std::allocator<class CString> >::insert(class CString *,unsigned int,class CString const &) (codecoloring.obj)
       0.956   0.0        1.564   0.0     4814 EditCtrl::GetAvgCharWidth(void) (editctrl.obj)
       0.785   0.0        0.785   0.0       30 EditCtrl::OnEraseBkGnd(unsigned int,unsigned int,long,int &) (editctrl.obj)
       0.778   0.0        2.976   0.1        3 ConvertCRLFtoLF(class CString &) (utility.obj)
       0.711   0.0        0.711   0.0       52 Persist::PersistNumberImpl(class CString const &,long &) (codecoloring.obj)
       0.703   0.0        0.703   0.0        4 GetModulePath(void) (utility.obj)
       0.551   0.0        0.000   0.0     6918 ParserTree<class Ptr<class LangElem> >::Node::FindChild(char) (codecoloring.obj)
       0.548   0.0        1.436   0.0        1 EditCtrl::Create(struct HWND__ *,struct tagRECT &,unsigned long,unsigned long,unsigned int,class Ptr<class Language>,class Ptr<class TokenColors>) (editctrl.obj)
       0.526   0.0        0.526   0.0       14 ConvertAnyToLF(char *,char const *) (utility.obj)
       0.513   0.0        0.513   0.0       36 std::deque<class Ptr<class Range const >,class std::allocator<class Ptr<class Range const > > >::pop_back(void) (codecoloring.obj)
       0.500   0.0        0.500   0.0       34 std::deque<class Ptr<class Range const >,class std::allocator<class Ptr<class Range const > > >::pop_front(void) (codecoloring.obj)
       0.481   0.0        0.481   0.0       23 Words::~Words(void) (codecoloring.obj)
       0.461   0.0        0.461   0.0       15 CLiteEditDlg::OnTimer(unsigned int) (liteeditdlg.obj)
       0.455   0.0        0.455   0.0       11 RestOfLine::Load(class Persist &) (codecoloring.obj)
       0.396   0.0        0.396   0.0      830 std::_Construct(struct UndoItem *,struct UndoItem const &) (editctrl.obj)
       0.382   0.0        0.382   0.0        2 CLiteEditDlg::OnPaint(void) (liteeditdlg.obj)
       0.290   0.0        0.620   0.0        2 EditCtrl::CreateCaret(void) (editctrl.obj)
       0.283   0.0        0.283   0.0        1 ATL::AtlModuleRegisterWndClassInfoA(struct ATL::_ATL_MODULE *,struct _ATL_WNDCLASSINFOA *,long (**)(struct HWND__ *,unsigned int,unsigned int,long)) (editctrl.obj)
       0.277   0.0        4.460   0.1        8 EditCtrl::InvalidateGutter(void) (editctrl.obj)
       0.267   0.0        0.267   0.0        1 EditCtrl::OnSetCursor(unsigned int,unsigned int,long,int &) (editctrl.obj)
       0.246   0.0        0.246   0.0        1 _$E204 (codecoloring.obj)
       0.217   0.0        1.803   0.0        1 CLiteEditDlg::BuildToolsMenu(void) (liteeditdlg.obj)
       0.200   0.0        0.200   0.0       17 std::deque<class Ptr<class Range const >,class std::allocator<class Ptr<class Range const > > >::_Freefront(void) (codecoloring.obj)
