Profile: Function timing, sorted by time
Date:    Mon Apr 10 20:46:58 2006


Program Statistics
------------------
    Command line at 2006 Apr 10 20:46: LiteEdit
    Total time: 29576.469 millisecond
    Time outside of functions: 26045.498 millisecond
    Call depth: 18
    Total functions: 701
    Total hits: 1265739
    Function coverage: 64.3%
    Overhead Calculated 10
    Overhead Average 10

Module Statistics for liteedit.exe
----------------------------------
    Time in module: 3530.971 millisecond
    Percent of time in module: 100.0%
    Functions in module: 701
    Hits in module: 1265739
    Module function coverage: 64.3%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
     423.494  12.0      423.494  12.0     1056 GetNumNewLines(class CString const &,long,long) (utility.obj)
     362.133  10.3      362.133  10.3        1 StringToFile(class CString const &,class CString const &) (utility.obj)
     270.913   7.7     1582.851  44.8      353 TextHolder::ModifyText(long,long,class CString const &,bool) (editctrl.obj)
     222.425   6.3      640.710  18.1        1 CLiteEditDlg::OnInitDialog(void) (liteeditdlg.obj)
     195.925   5.5      190.062   5.4     3348 EditCtrl::GetLineWidth(long,class EditCtrl::CurDC *) (editctrl.obj)
     183.917   5.2      368.981  10.4      705 EditCtrl::SetSel(long,long,enum ScrollKinds) (editctrl.obj)
     151.766   4.3      150.461   4.3      355 EditCtrl::UpdateHScroll(void) (editctrl.obj)
     147.252   4.2      147.781   4.2       14 FileToString(class CString const &,bool) (utility.obj)
     134.469   3.8      129.124   3.7      578 WordList<class Ptr<class LangElem> >::AddString(class CString const &,class Ptr<class LangElem> const &) (codecoloring.obj)
     128.162   3.6      115.138   3.3     4286 FindMatchImpl(class StringIterator const &,class CString const &,bool,long,long) (utility.obj)
     108.225   3.1      982.637  27.8      352 EditCtrl::OnPostChange(long,long,long,long,long,long) (editctrl.obj)
     102.077   2.9      100.747   2.9      933 EditCtrl::CurDC::DrawTextA(int,int,class CString const &) (editctrl.obj)
      73.177   2.1       65.442   1.9     8783 std::vector<class Token,class std::allocator<class Token> >::insert(class Token *,class Token const &) (codecoloring.obj)
      66.364   1.9       66.364   1.9       21 FileExists(class CString const &) (utility.obj)
      59.289   1.7       75.032   2.1     1497 CodeLine::`scalar deleting destructor'(unsigned int) (codecoloring.obj)
      59.289   1.7       75.032   2.1     1497 CodeLine::`vector deleting destructor'(unsigned int) (codecoloring.obj)
      50.083   1.4       50.083   1.4    12292 GetNextToken(class CString const &,long,class CString &) (utility.obj)
      49.309   1.4      239.927   6.8      353 EditCtrl::ValidateWidestLine(long,long) (editctrl.obj)
      48.584   1.4      118.019   3.3      704 EditCtrl::NotifyParent(unsigned short) (editctrl.obj)
      48.339   1.4       48.339   1.4      353 FindMenuItemPosById(struct HMENU__ *,unsigned int) (utility.obj)
      47.663   1.3      104.113   2.9      705 EditCtrl::ScrollCaret(enum ScrollKinds) (editctrl.obj)
      46.914   1.3       51.133   1.4      387 EditCtrl::PosFromChar(long) (editctrl.obj)
      46.440   1.3      416.787  11.8        1 CLiteEditDlg::OnDestroy(void) (liteeditdlg.obj)
      32.871   0.9       32.871   0.9        2 SearchForFile(class CString &) (utility.obj)
      32.705   0.9      139.898   4.0       34 EditCtrl::OnPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
      29.727   0.8       23.219   0.7       23 Words::Load(class Persist &) (codecoloring.obj)
      29.561   0.8       28.633   0.8      278 ParserTree<class Ptr<class LangElem> >::Node::~Node(void) (codecoloring.obj)
      26.900   0.8       25.283   0.7       28 CLiteEditDlg::UpdatePosPane(void) (liteeditdlg.obj)
      25.674   0.7       27.391   0.8      357 EditCtrl::SetFirstVisibleLine(long) (editctrl.obj)
      23.837   0.7       34.224   1.0        7 EditCtrl::SetFirstVisiblePixel(long) (editctrl.obj)
      22.994   0.7      190.041   5.4     1196 CLiteEditDlg::PreTranslateMessage(struct tagMSG *) (liteeditdlg.obj)
      22.571   0.6       15.051   0.4     3680 std::vector<class Token,class std::allocator<class Token> >::insert(class Token *,unsigned int,class Token const &) (codecoloring.obj)
      15.937   0.5       15.937   0.5     1423 EditCtrl::GetClientWidth(void) (editctrl.obj)
      15.537   0.4       15.743   0.4     1497 CodeLine::~CodeLine(void) (codecoloring.obj)
      15.518   0.4       80.707   2.3     1142 LineData::`scalar deleting destructor'(unsigned int) (editctrl.obj)
      15.518   0.4       80.707   2.3     1142 LineData::`vector deleting destructor'(unsigned int) (editctrl.obj)
      14.844   0.4     1583.494  44.8     1159 ATL::CWindowImplBaseT<class ATL::CWindow,class ATL::CWinTraits<1442840576,0> >::WindowProc(struct HWND__ *,unsigned int,unsigned int,long) (editctrl.obj)
      13.683   0.4       13.683   0.4     1804 EditCtrl::GetClientHeight(void) (editctrl.obj)
      11.273   0.3      234.414   6.6      706 CLiteEditDlg::OnCommand(unsigned int,long) (liteeditdlg.obj)
      11.096   0.3       88.624   2.5        1 TextHolder::~TextHolder(void) (editctrl.obj)
      10.374   0.3        0.000   0.0     4084 EditCtrl::GetLine(long) (editctrl.obj)
       9.481   0.3       57.819   1.6      353 CLiteEditDlg::ProcessDynamicCommand(unsigned int) (liteeditdlg.obj)
       8.937   0.3      186.645   5.3     1497 Language::NewCodeLine(class CString const &,class Context const &,bool) (codecoloring.obj)
       7.653   0.2       10.136   0.3       12 EditCtrl::OnNcPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
       6.973   0.2        6.973   0.2       60 Accel::DoPersist(class Persist &) (utility.obj)
       5.919   0.2        5.919   0.2     1408 std::vector<long,class std::allocator<long> >::insert(long *,unsigned int,long const &) (editctrl.obj)
       5.583   0.2      115.950   3.3    10684 Obj::Release(void) (codecoloring.obj)
       5.018   0.1        4.833   0.1      822 std::vector<class CString,class std::allocator<class CString> >::insert(class CString *,unsigned int,class CString const &) (codecoloring.obj)
       4.606   0.1        7.456   0.2        3 GetClipboardString(class CString &,struct HWND__ *,bool) (utility.obj)
       4.494   0.1        5.836   0.2        3 CLiteEditDlg::ResizeControls(void) (liteeditdlg.obj)
       4.404   0.1        3.178   0.1      352 TextHolder::PushUndoItem(struct UndoItem const &) (editctrl.obj)
       4.304   0.1        4.304   0.1      348 CharToStr(char) (editctrl.obj)
       4.040   0.1        4.040   0.1     4092 std::vector<class Token,class std::allocator<class Token> >::size(void) (codecoloring.obj)
       3.652   0.1        3.652   0.1     1494 EditCtrl::GetTextRange(long,long) (editctrl.obj)
       3.451   0.1        3.451   0.1     4092 std::vector<class Token,class std::allocator<class Token> >::_Destroy(class Token *,class Token *) (codecoloring.obj)
       3.262   0.1        3.259   0.1      352 CLiteEditDlg::OnEditChange(void) (liteeditdlg.obj)
       2.951   0.1      154.847   4.4       13 Language::DoPersist(class Persist &) (codecoloring.obj)
       2.571   0.1        2.571   0.1      810 Words::GetNumStrings(void) (codecoloring.obj)
