Profile: Function timing, sorted by time
Date:    Mon Apr 17 23:05:40 2006


Program Statistics
------------------
    Command line at 2006 Apr 17 23:05: LiteEdit
    Total time: 7582.866 millisecond
    Time outside of functions: 6102.829 millisecond
    Call depth: 125
    Total functions: 679
    Total hits: 493095
    Function coverage: 63.6%
    Overhead Calculated 9
    Overhead Average 9

Module Statistics for liteedit.exe
----------------------------------
    Time in module: 1480.037 millisecond
    Percent of time in module: 100.0%
    Functions in module: 679
    Hits in module: 493095
    Module function coverage: 63.6%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
     140.304   9.5      421.476  28.5        1 CLiteEditDlg::OnInitDialog(void) (liteeditdlg.obj)
     108.632   7.3      109.840   7.4       15 FileToString(class CString const &,bool) (utility.obj)
     106.861   7.2      106.655   7.2      578 WordList<class Ptr<class LangElem> >::AddString(class CString const &,class Ptr<class LangElem> const &) (codecoloring.obj)
      96.012   6.5       91.305   6.2     2100 EditCtrl::GetLineWidth(long,class EditCtrl::CurDC *) (editctrl.obj)
      92.542   6.3        6.775   0.5      164 TextHolder::WrapLinesIfNecessary(long,long &,long &,long &,long &,long *,long,long) (editctrl.obj)
      83.878   5.7       83.878   5.7      489 GetNumNewLines(class CString const &,long,long) (utility.obj)
      74.012   5.0       72.923   4.9     1307 EditCtrl::CurDC::DrawTextA(int,int,class CString const &) (editctrl.obj)
      70.243   4.7      125.905   8.5      333 EditCtrl::SetSel(long,long,enum ScrollKinds) (editctrl.obj)
      57.396   3.9       45.302   3.1     2931 FindMatchImpl(class StringIterator const &,class CString const &,bool,long,long) (utility.obj)
      49.852   3.4       50.269   3.4      166 EditCtrl::UpdateHScroll(void) (editctrl.obj)
      43.099   2.9       42.198   2.9       38 CLiteEditDlg::UpdatePosPane(void) (liteeditdlg.obj)
      38.655   2.6      382.160  25.8      165 TextHolder::ModifyText(long,long,class CString const &,bool) (editctrl.obj)
      38.390   2.6       51.617   3.5      330 CLiteEditDlg::OnCommand(unsigned int,long) (liteeditdlg.obj)
      35.156   2.4       35.358   2.4        1 _$E207 (codecoloring.obj)
      32.729   2.2      261.621  17.7      164 EditCtrl::OnPostChange(long,long,long,long,long,long) (editctrl.obj)
      31.859   2.2      110.483   7.5       38 EditCtrl::OnPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
      31.491   2.1       38.040   2.6       23 Words::Load(class Persist &) (codecoloring.obj)
      26.702   1.8       26.702   1.8        1 StringToFile(class CString const &,class CString const &) (utility.obj)
      26.050   1.8       26.050   1.8     8192 GetNextToken(class CString const &,long,class CString &) (utility.obj)
      24.033   1.6      114.936   7.8      165 EditCtrl::ValidateWidestLine(long,long) (editctrl.obj)
      21.771   1.5       16.273   1.1      205 EditCtrl::PosFromChar(long) (editctrl.obj)
      19.836   1.3       32.544   2.2      333 EditCtrl::ScrollCaret(enum ScrollKinds) (editctrl.obj)
      12.950   0.9       56.920   3.8     2931 FindMatch(class StringIterator const &,class CString const &,bool) (utility.obj)
      12.412   0.8       29.689   2.0      329 EditCtrl::NotifyParent(unsigned short) (editctrl.obj)
      11.434   0.8       11.765   0.8       19 EditCtrl::OnNcPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
       9.382   0.6        9.406   0.6     1079 CodeLine::~CodeLine(void) (codecoloring.obj)
       9.370   0.6      495.674  33.5      629 ATL::CWindowImplBaseT<class ATL::CWindow,class ATL::CWinTraits<1442840576,0> >::WindowProc(struct HWND__ *,unsigned int,unsigned int,long) (editctrl.obj)
       9.042   0.6        9.042   0.6        3 SearchForFile(class CString &) (utility.obj)
       7.670   0.5        7.670   0.5      571 CLiteEditDlg::PreTranslateMessage(struct tagMSG *) (liteeditdlg.obj)
       7.448   0.5        7.448   0.5       24 FileExists(class CString const &) (utility.obj)
       6.566   0.4        6.566   0.4       60 Accel::DoPersist(class Persist &) (utility.obj)
       6.432   0.4        9.683   0.7       11 CLiteEditDlg::OnTimer(unsigned int) (liteeditdlg.obj)
