Profile: Function timing, sorted by time
Date:    Mon Apr 17 23:03:54 2006


Program Statistics
------------------
    Command line at 2006 Apr 17 23:03: LiteEdit
    Total time: 16231.620 millisecond
    Time outside of functions: 12953.770 millisecond
    Call depth: 125
    Total functions: 690
    Total hits: 1430796
    Function coverage: 64.2%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for liteedit.exe
----------------------------------
    Time in module: 3277.850 millisecond
    Percent of time in module: 100.0%
    Functions in module: 690
    Hits in module: 1430796
    Module function coverage: 64.2%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
     135.471   4.1      414.717  12.7        1 CLiteEditDlg::OnInitDialog(void) (liteeditdlg.obj)
     134.027   4.1      135.539   4.1     2495 EditCtrl::CurDC::DrawTextA(int,int,class CString const &) (editctrl.obj)
     120.530   3.7      264.106   8.1      849 std::vector<class Ptr<class LineData>,class std::allocator<class Ptr<class LineData> > >::insert(class Ptr<class LineData> *,unsigned int,class Ptr<class LineData> const &) (editctrl.obj)
     119.449   3.6      119.449   3.6     1166 EditCtrl::GetNumCharsThatFit(char const *,long,long,long &) (editctrl.obj)
     116.872   3.6      510.093  15.6      212 TextHolder::WrapLinesIfNecessary(long,long &,long &,long &,long &,long *,long,long) (editctrl.obj)
     110.446   3.4      110.446   3.4      633 GetNumNewLines(class CString const &,long,long) (utility.obj)
     102.767   3.1      103.991   3.2       15 FileToString(class CString const &,bool) (utility.obj)
     101.859   3.1      224.016   6.8      429 EditCtrl::SetSel(long,long,enum ScrollKinds) (editctrl.obj)
      99.307   3.0      101.875   3.1      578 WordList<class Ptr<class LangElem> >::AddString(class CString const &,class Ptr<class LangElem> const &) (codecoloring.obj)
      98.618   3.0      102.207   3.1     2122 EditCtrl::GetLineWidth(long,class EditCtrl::CurDC *) (editctrl.obj)
      94.271   2.9       94.271   2.9   106112 Ptr<class CodeLine>::AddRef(void) (editctrl.obj)
      94.271   2.9       94.271   2.9   106112 Ptr<class ColorScheme>::AddRef(void) (editctrl.obj)
      94.271   2.9       94.271   2.9   106112 Ptr<class LangElem const >::AddRef(void) (editctrl.obj)
      94.271   2.9       94.271   2.9   106112 Ptr<class LangElem>::AddRef(void) (editctrl.obj)
      94.271   2.9       94.271   2.9   106112 Ptr<class Language>::AddRef(void) (editctrl.obj)
      94.271   2.9       94.271   2.9   106112 Ptr<class LineData>::AddRef(void) (editctrl.obj)
      94.271   2.9       94.271   2.9   106112 Ptr<class Words>::AddRef(void) (editctrl.obj)
      94.271   2.9       94.271   2.9   106112 Ptr<struct ParserTree<class Ptr<class LangElem> >::Node>::AddRef(void) (editctrl.obj)
      94.271   2.9       94.271   2.9   106112 Ptr<struct ParserTree<enum Range::RangeMarkers>::Node>::AddRef(void) (editctrl.obj)
      70.880   2.2       71.946   2.2       68 CLiteEditDlg::UpdatePosPane(void) (liteeditdlg.obj)
      68.820   2.1       83.214   2.5    89416 Obj::Release(void) (codecoloring.obj)
      67.250   2.1      225.573   6.9       76 EditCtrl::OnPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
      65.144   2.0       68.929   2.1     2634 FindMatchImpl(class StringIterator const &,class CString const &,bool,long,long) (utility.obj)
      61.890   1.9      875.957  26.7      212 EditCtrl::OnPostChange(long,long,long,long,long,long) (editctrl.obj)
