Profile: Function timing, sorted by time
Date:    Mon Apr 17 22:25:07 2006


Program Statistics
------------------
    Command line at 2006 Apr 17 22:24: LiteEdit
    Total time: 12371.446 millisecond
    Time outside of functions: 10037.102 millisecond
    Call depth: 123
    Total functions: 676
    Total hits: 516545
    Function coverage: 64.1%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for liteedit.exe
----------------------------------
    Time in module: 2334.344 millisecond
    Percent of time in module: 100.0%
    Functions in module: 676
    Hits in module: 516545
    Module function coverage: 64.1%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
     306.193  13.1      316.962  13.6     1497 EditCtrl::GetNumCharsThatFit(class CString const &,long,long &) (editctrl.obj)
     189.573   8.1      620.307  26.6      213 TextHolder::WrapLinesIfNecessary(long,long &,long &,long &,long &,long *,long,long) (editctrl.obj)
     136.052   5.8      397.853  17.0        1 CLiteEditDlg::OnInitDialog(void) (liteeditdlg.obj)
     114.285   4.9      114.285   4.9      636 GetNumNewLines(class CString const &,long,long) (utility.obj)
     106.541   4.6      108.927   4.7     2445 EditCtrl::GetLineWidth(long,class EditCtrl::CurDC *) (editctrl.obj)
     104.387   4.5      101.712   4.4     1012 std::vector<class Ptr<class LineData>,class std::allocator<class Ptr<class LineData> > >::insert(class Ptr<class LineData> *,unsigned int,class Ptr<class LineData> const &) (editctrl.obj)
     101.195   4.3      102.409   4.4       15 FileToString(class CString const &,bool) (utility.obj)
      99.132   4.2      200.945   8.6      431 EditCtrl::SetSel(long,long,enum ScrollKinds) (editctrl.obj)
      97.577   4.2       99.080   4.2      578 WordList<class Ptr<class LangElem> >::AddString(class CString const &,class Ptr<class LangElem> const &) (codecoloring.obj)
      76.043   3.3     1572.452  67.4      214 TextHolder::ModifyText(long,long,class CString const &,bool) (editctrl.obj)
      66.608   2.9       68.512   2.9      215 EditCtrl::UpdateHScroll(void) (editctrl.obj)
      64.733   2.8      739.017  31.7      213 EditCtrl::OnPostChange(long,long,long,long,long,long) (editctrl.obj)
      50.672   2.2       52.228   2.2     2120 FindMatchImpl(class StringIterator const &,class CString const &,bool,long,long) (utility.obj)
      50.579   2.2       50.631   2.2      509 EditCtrl::CurDC::DrawTextA(int,int,class CString const &) (editctrl.obj)
      40.173   1.7      101.518   4.3       43 EditCtrl::OnPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
      39.795   1.7       40.728   1.7       36 CLiteEditDlg::UpdatePosPane(void) (liteeditdlg.obj)
      39.027   1.7       58.293   2.5      428 CLiteEditDlg::OnCommand(unsigned int,long) (liteeditdlg.obj)
      30.216   1.3       33.251   1.4      259 EditCtrl::PosFromChar(long) (editctrl.obj)
      30.116   1.3       56.589   2.4      431 EditCtrl::ScrollCaret(enum ScrollKinds) (editctrl.obj)
      28.733   1.2       31.499   1.3       23 Words::Load(class Persist &) (codecoloring.obj)
      27.955   1.2       27.955   1.2     6287 GetNextToken(class CString const &,long,class CString &) (utility.obj)
      23.465   1.0      167.451   7.2     1228 Language::NewCodeLine(class CString const &,class Context const &,bool) (codecoloring.obj)
      23.330   1.0       23.530   1.0        1 _$E207 (codecoloring.obj)
      20.524   0.9       20.524   0.9    37164 FindFirstDiff(char const *,char const *) (utility.obj)
      20.178   0.9       20.178   0.9        1 StringToFile(class CString const &,class CString const &) (utility.obj)
      19.390   0.8      127.716   5.5      214 EditCtrl::ValidateWidestLine(long,long) (editctrl.obj)
      17.091   0.7       37.615   1.6     4644 CodeLine::FindFirstDiff(class CodeLine const &,class CodeLine const &) (codecoloring.obj)
      14.763   0.6       16.805   0.7       23 EditCtrl::OnNcPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
      14.114   0.6       40.150   1.7      427 EditCtrl::NotifyParent(unsigned short) (editctrl.obj)
      13.662   0.6       13.823   0.6        1 _$E231 (editctrl.obj)
      13.374   0.6       13.374   0.6    34189 EditCtrl::GetLineData(long) (editctrl.obj)
      12.311   0.5      959.493  41.1      806 ATL::CWindowImplBaseT<class ATL::CWindow,class ATL::CWinTraits<1442840576,0> >::WindowProc(struct HWND__ *,unsigned int,unsigned int,long) (editctrl.obj)
      12.138   0.5       17.054   0.7     2443 ParserTree<class Ptr<class LangElem> >::FindElement(class CString const &,long,bool,class Ptr<class LangElem> &,long &,long &) (codecoloring.obj)
      11.742   0.5      209.924   9.0    11928 EditCtrl::GetCodeLine(long) (editctrl.obj)
      11.312   0.5       11.312   0.5      741 CLiteEditDlg::PreTranslateMessage(struct tagMSG *) (liteeditdlg.obj)
      11.241   0.5       11.285   0.5     1228 CodeLine::~CodeLine(void) (codecoloring.obj)
      11.196   0.5       19.506   0.8     4025 std::vector<class Token,class std::allocator<class Token> >::insert(class Token *,class Token const &) (codecoloring.obj)
      11.058   0.5       18.415   0.8    11283 EditCtrl::LineIndex(long) (editctrl.obj)
       9.882   0.4       38.448   1.6        1 CLiteEditDlg::OnDestroy(void) (liteeditdlg.obj)
       9.831   0.4        9.831   0.4     3231 GetPrevWordPos(class CString const &,long,bool) (utility.obj)
       9.688   0.4       14.345   0.6       16 CLiteEditDlg::OnTimer(unsigned int) (liteeditdlg.obj)
       9.427   0.4        9.427   0.4    14016 std::_Construct(class Token *,class Token const &) (codecoloring.obj)
       9.015   0.4        9.015   0.4        3 SearchForFile(class CString &) (utility.obj)
       8.708   0.4       19.856   0.9      228 EditCtrl::SetFirstVisibleLine(long) (editctrl.obj)
       7.985   0.3        7.985   0.3     1160 EditCtrl::GetClientHeight(void) (editctrl.obj)
       7.331   0.3       12.455   0.5     2443 std::vector<class Token,class std::allocator<class Token> >::insert(class Token *,unsigned int,class Token const &) (codecoloring.obj)
       7.238   0.3        7.238   0.3       60 Accel::DoPersist(class Persist &) (utility.obj)
       7.174   0.3        7.174   0.3       23 FileExists(class CString const &) (utility.obj)
       7.009   0.3        7.009   0.3      214 FindMenuItemPosById(struct HMENU__ *,unsigned int) (utility.obj)
