Profile: Function timing, sorted by time
Date:    Mon Apr 17 22:39:50 2006


Program Statistics
------------------
    Command line at 2006 Apr 17 22:39: LiteEdit
    Total time: 11197.153 millisecond
    Time outside of functions: 8473.815 millisecond
    Call depth: 123
    Total functions: 681
    Total hits: 583754
    Function coverage: 64.8%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for liteedit.exe
----------------------------------
    Time in module: 2723.337 millisecond
    Percent of time in module: 100.0%
    Functions in module: 681
    Hits in module: 583754
    Module function coverage: 64.8%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
     328.915  12.1      345.192  12.7     1627 EditCtrl::GetNumCharsThatFit(char const *,long,long,long &) (editctrl.obj)
     197.806   7.3      700.597  25.7      256 TextHolder::WrapLinesIfNecessary(long,long &,long &,long &,long &,long *,long,long) (editctrl.obj)
     137.132   5.0      416.356  15.3        1 CLiteEditDlg::OnInitDialog(void) (liteeditdlg.obj)
     135.749   5.0      135.749   5.0      765 GetNumNewLines(class CString const &,long,long) (utility.obj)
     122.223   4.5      131.560   4.8     2576 EditCtrl::GetLineWidth(long,class EditCtrl::CurDC *) (editctrl.obj)
     117.700   4.3      244.951   9.0      518 EditCtrl::SetSel(long,long,enum ScrollKinds) (editctrl.obj)
     117.073   4.3      147.947   5.4     1013 std::vector<class Ptr<class LineData>,class std::allocator<class Ptr<class LineData> > >::insert(class Ptr<class LineData> *,unsigned int,class Ptr<class LineData> const &) (editctrl.obj)
      99.458   3.7      100.670   3.7       15 FileToString(class CString const &,bool) (utility.obj)
      98.421   3.6      100.294   3.7      578 WordList<class Ptr<class LangElem> >::AddString(class CString const &,class Ptr<class LangElem> const &) (codecoloring.obj)
      81.679   3.0       84.854   3.1      258 EditCtrl::UpdateHScroll(void) (editctrl.obj)
      75.256   2.8     1892.594  69.5      257 TextHolder::ModifyText(long,long,class CString const &,bool) (editctrl.obj)
      72.089   2.6      942.958  34.6      256 EditCtrl::OnPostChange(long,long,long,long,long,long) (editctrl.obj)
      64.053   2.4       73.757   2.7     2722 FindMatchImpl(class StringIterator const &,class CString const &,bool,long,long) (utility.obj)
      62.841   2.3       63.688   2.3       56 CLiteEditDlg::UpdatePosPane(void) (liteeditdlg.obj)
      54.728   2.0       54.848   2.0      880 EditCtrl::CurDC::DrawTextA(int,int,class CString const &) (editctrl.obj)
      49.635   1.8      119.210   4.4       59 EditCtrl::OnPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
      35.741   1.3       42.882   1.6      319 EditCtrl::PosFromChar(long) (editctrl.obj)
      34.913   1.3       70.625   2.6      518 EditCtrl::ScrollCaret(enum ScrollKinds) (editctrl.obj)
      33.651   1.2       46.566   1.7   147913 Obj::Release(void) (codecoloring.obj)
      31.004   1.1       31.004   1.1     7665 GetNextToken(class CString const &,long,class CString &) (utility.obj)
      29.635   1.1       36.759   1.3       23 Words::Load(class Persist &) (codecoloring.obj)
      26.404   1.0       51.987   1.9     5590 CodeLine::FindFirstDiff(class CodeLine const &,class CodeLine const &) (codecoloring.obj)
      26.049   1.0      249.220   9.2     1272 Language::NewCodeLine(class CString const &,class Context const &,bool) (codecoloring.obj)
      25.909   1.0      156.832   5.8      257 EditCtrl::ValidateWidestLine(long,long) (editctrl.obj)
      25.583   0.9       25.583   0.9    51779 FindFirstDiff(char const *,char const *) (utility.obj)
      24.397   0.9       45.990   1.7      515 CLiteEditDlg::OnCommand(unsigned int,long) (liteeditdlg.obj)
      24.384   0.9       24.384   0.9        1 StringToFile(class CString const &,class CString const &) (utility.obj)
      19.254   0.7     1220.378  44.8     1160 ATL::CWindowImplBaseT<class ATL::CWindow,class ATL::CWinTraits<1442840576,0> >::WindowProc(struct HWND__ *,unsigned int,unsigned int,long) (editctrl.obj)
      19.133   0.7       49.540   1.8      514 EditCtrl::NotifyParent(unsigned short) (editctrl.obj)
      19.046   0.7      296.438  10.9    13968 EditCtrl::GetCodeLine(long) (editctrl.obj)
      17.648   0.6       31.922   1.2     4705 std::vector<class Token,class std::allocator<class Token> >::insert(class Token *,class Token const &) (codecoloring.obj)
      17.095   0.6       19.285   0.7       25 EditCtrl::OnNcPaint(unsigned int,unsigned int,long,int &) (editctrl.obj)
      15.418   0.6       15.418   0.6    38332 EditCtrl::GetLineData(long) (editctrl.obj)
      14.130   0.5       14.130   0.5       24 FileExists(class CString const &) (utility.obj)
      13.508   0.5       37.995   1.4     3141 ParserTree<class Ptr<class LangElem> >::FindElement(class CString const &,long,bool,class Ptr<class LangElem> &,long &,long &) (codecoloring.obj)
      12.712   0.5       26.037   1.0      272 EditCtrl::SetFirstVisibleLine(long) (editctrl.obj)
      12.407   0.5       12.407   0.5    17277 std::_Construct(class Token *,class Token const &) (codecoloring.obj)
      12.276   0.5       24.222   0.9     3541 ParserTree<class Ptr<class LangElem> >::Find(class CString const &,bool) (codecoloring.obj)
      12.111   0.4       12.111   0.4      946 CLiteEditDlg::PreTranslateMessage(struct tagMSG *) (liteeditdlg.obj)
      11.935   0.4       11.935   0.4     4448 GetPrevWordPos(char const *,long,bool) (utility.obj)
      11.218   0.4       17.458   0.6     3141 std::vector<class Token,class std::allocator<class Token> >::insert(class Token *,unsigned int,class Token const &) (codecoloring.obj)
      11.179   0.4       11.179   0.4     1385 EditCtrl::GetClientHeight(void) (editctrl.obj)
      11.003   0.4       11.108   0.4     1272 CodeLine::~CodeLine(void) (codecoloring.obj)
      10.378   0.4       16.860   0.6    12766 EditCtrl::LineIndex(long) (editctrl.obj)
       9.704   0.4        9.704   0.4    15967 WordList<class Ptr<class LangElem> >::GetNthString(long) (codecoloring.obj)
